Username,Totalstars,Totalforks,Totalpullrequest,Totalcommits
hatch,0,1,1,0
nickpad,17,6,23,0
joaovitor,50,15,0,0
ckhsponge,74,17,0,39
fd,16,5,0,87
wineq,0,0,0,0
daaku,155,21,1,10
pfig,25,6,1,0
natedaiger,14,9,0,0
probablycorey,28,11,1,0
ymendel,100,20,1,18
jmhodges,81,33,4,3
nickel,0,0,5,4
buru,18,12,2,0
wdperson,57,6,0,0
chromakey-io,46,6,0,0
jstetser,3,0,0,0
ianloic,64,17,0,0
bansalakhil,26,7,13,0
jesseproudman,3,6,0,0
fantom,0,0,0,0
h-lame,92,20,1,37
emilevdb,0,0,0,0
mdub,465,83,5,9
martinjandrews,35,49,13,0
wpiekutowski,16,0,0,35
lukeredpath,440,145,20,33
andykent,400,48,3,22
codehugger,20,6,22,2
aemadrid,30,12,3,0
mulder,19,3,0,0
jeremyboles,0,0,0,0
moorbrook,0,0,0,0
humandoing,2,0,0,0
george,25,3,0,17
dramsay,68,33,1,0
jonmagic,324,125,3,31
chriskilmer,0,0,0,0
zpinter,50,10,0,0
banderson623,26,7,31,0
bigethan,18,5,0,0
lmarlow,119,14,0,0
jrimmer,2,1,0,0
olly,42,15,10,0
hookercookerman,33,6,4,0
rubenlozano,0,0,0,0
doxavore,9,13,27,4
Bjwebb,9,10,7,41
daniel,5,3,0,0
qerub,117,18,0,0
leavengood,125,25,0,2
pjjw,10,1,0,21
barrym,44,3,0,0
ph,1,2,0,0
pbx,12,6,0,1
fspeirs,183,32,5,0
fernandoallen,0,0,0,0
davidsmalley,24,8,0,9
njonsson,271,13,9,19
ecin,59,22,1,0
progrium,3557,625,9,34
jhsu,12,14,0,9
hipertracker,16,3,0,0
mindy,0,0,0,0
plainprogrammer,35,29,8,25
jasonf,29,7,0,0
robmitch,12,4,0,0
mlopes,19,37,3,0
sxross,222,71,8,0
tomislav,1580,302,1,0
brian,0,0,0,0
stephencelis,281,57,4,8
gebi,81,28,3,24
intinig,76,17,0,26
benr75,114,7,0,0
cuiguy,2,1,0,0
jimmyjazz,37,10,0,0
blaix,17,6,0,39
zachinglis,546,103,9,0
kstewart,3,0,0,0
vidyanand,0,0,0,0
cclow,52,12,10,0
seven1m,4333,599,0,13
latompa,9,11,0,0
kouky,109,25,5,0
incandescant,8,2,0,0
redinger,59,34,0,0
osteele,227,33,44,1
bikerduweb,25,8,0,1
ryward,0,0,0,0
james2m,1304,132,6,0
jlindley,0,0,0,0
dalsgaard,7,4,8,0
grantr,28,10,0,0
jtmxx,0,0,0,0
digitalhobbit,86,10,0,0
robmack,6,0,0,0
russ,54,52,14,19
alexagui,8,1,0,1
lsegal,607,214,7,13
fazibear,184,71,4,30
grosours,4,3,0,0
dermotbrennan,22,2,0,0
matschaffer,31,4,0,8
mazdak,2,0,0,0
bryckbost,101,13,0,0
farcaller,151,26,1,13
lstoll,67,43,3,0
sbellware,15,1,0,10
caius,13,5,2,51
dgiunta,25,3,9,7
oleganza,1152,351,10,1
nkallen,1523,561,6,58
heycarsten,492,107,27,0
jokull,194,40,3,19
gjnoonan,22,2,0,0
jparker,19,8,0,2
xxgreg,169,113,7,0
jimmygoodboy,0,0,0,0
tekkub,482,219,1,0
kaspar,4,0,0,0
seaofclouds,1042,296,6,0
jared,8,0,5,0
delagoya,17,8,0,116
necrodome,20,6,0,16
brokendisk,9,5,0,0
digitalknk,0,1,0,0
lilyball,438,60,0,1
BrentonEarl,9,4,0,0
malomalo,51,13,8,24
peregrine,10,2,0,16
chrislloyd,622,74,3,1
gregbell,111,40,1,49
pclouds,1,3,0,2
yesmar,4,0,0,81
brettg,54,11,3,0
xenith,638,143,0,0
martinisoft,34,6,1,0
marc,1,1,0,0
pjb3,79,26,10,0
cvk,1,0,0,0
revelation,17,5,0,0
xuejm,0,0,0,0
blowmage,18,5,0,9
gnu-lorien,34,12,6,45
bledig,9,4,0,0
travo,0,1,1,0
schmidt,41,11,0,0
tschacht,0,0,0,0
christos,30,4,1,0
v15h,0,0,0,0
jasherai,86,25,0,0
cylence,0,0,0,0
rmm5t,41,4,0,12
quigebo,3,0,0,0
shirkevich,14,7,0,0
lukehoersten,86,30,3,0
roncohen,8,7,0,31
Bregor,18,2,0,0
juretta,102,29,0,1
jney,28,5,0,0
tom,11,4,1,0
mortenbagai,26,8,0,0
smerickson,0,0,0,0
lagsalot,0,0,0,0
djspiewak,426,71,5,20
jsgoecke,189,48,6,3
myabc,25,8,0,0
stefanoc,3,0,0,0
mde,7882,916,24,8
oliverandrich,137,17,0,23
baldur,8,4,0,0
ctcherry,97,14,0,0
rjspotter,22,5,0,6
asanghi,111,29,0,0
malkomalko,88,21,0,0
PabloC,0,0,0,0
jerrod,27,668,0,0
jfreeze,236,32,28,29
vigosan,51,37,3,7
fbrubacher,7,2,8,0
mvanholstyn,50,4,0,0
zach,13,3,0,0
lydgate,46,14,5,24
alex,151,24,4,4
clupprich,9,2,0,13
jordanbrock,121,123,2,0
brijohn,124,34,1,6
mahnve,0,0,0,0
peburrows,404,135,11,3
asynkayo,56,10,1,35
jaf,3,0,0,0
piclez,40,7,1,0
ebello,62,16,72,0
wkeenan,0,0,0,0
benslavin,42,23,1,0
kevinfinlayson,5,0,0,0
adamsalter,435,328,4,0
joe,0,2,0,0
sxh,0,0,0,0
rpheath,516,125,9,0
bordy,2,2,0,0
companygardener,64,26,4,0
dusty,47,9,30,0
janson,3,0,0,2
nexneo,76,15,0,0
DimaD,35,14,3,0
kogent,15,3,0,0
tarcieri,42,2,2,4
kfl62,14,1,0,4
mattrenquist,0,0,0,0
lauri,58,11,0,0
jdskufca,0,0,0,0
seangeo,144,48,2,0
apod,4,1,0,0
denis,34,3,6,6
znarf,84,26,4,47
wiktorschmidt,0,1,0,0
cmrichards,7,3,1,0
tarsolya,14,6,0,0
vvarp,18,16,1,1
daveliu,77,29,1,0
Imbrondir,3,3,0,0
nimms,2,0,0,0
evs,1,1,0,0
svperfecta,2,1,0,13
akatz,15,28,0,0
rocanion,2,1,0,0
FooBarWidget,1712,265,16,19
weepy,269,21,47,0
bitshape,0,0,0,0
peleteiro,117,23,0,1
igor,1,1,0,0
miles,1,0,0,0
wunki,585,95,4,47
mkomitee,25,9,2,0
joergbattermann,8,9,3,0
mutle,111,23,14,0
baxter,29,3,2,0
shanesveller,62,40,6,0
brenton,8,6,1,54
zygote,0,0,0,0
peks,1,0,0,0
EugZol,66,11,10,2
cdb,15,10,53,1
DanielVF,166,35,0,0
michele,5,4,11,1
huxley,3,1,0,0
noin,3,1,1,0
blanco,1,0,0,0
raucao,29,12,0,7
galfert,22,2,0,0
haikuwebdev,32,53,0,0
medic0747,0,0,0,0
natacado,25,22,0,0
hotsyk,48,9,0,0
keeran,13,4,0,0
juliamae,79,10,2,0
mphilpot,1,2,0,1
mountain,56,8,2,29
remash,0,0,0,0
shantanoo,2,2,0,5
janfri,262,61,1,5
olivM,17,2,24,0
cavalle,1283,125,6,68
ejdraper,204,46,13,0
shenoudab,209,74,5,0
kaitanie,30,9,0,7
Norgg,17,24,0,0
webzense,0,0,0,0
antramm,14,19,0,0
amiroff,280,34,6,0
be9,915,131,8,17
greenpart,9,0,0,0
wisesmile,0,0,2,0
benschwarz,1204,160,4,32
cbartlett,13,4,0,4
r38y,103,15,0,0
constantine-nikolaou,16,10,0,0
ewhitten,0,0,0,0
julesss,3,0,0,0
muness,51,15,1,3
gonzague,1,0,0,0
keeg,44,10,28,0
iconmaster,4,3,0,0
cjmartin,38,8,0,0
samsm,17,4,0,10
nick,618,162,18,9
pusewicz,34,9,1,64
wadewinningham,2,0,0,0
fonseca,0,0,0,0
teftin,4,0,0,0
scivi,17,6,0,0
jeremy6d,48,2,2,2
jodo,0,0,0,0
raskchanky,6,3,0,0
jonuts,49,7,0,0
rbriski,13,12,6,11
colin,3,1,0,0
soveran,2332,326,7,0
jreynolds,3,0,0,0
daddz,0,0,0,0
tamersalama,6,0,0,0
minter,17,6,51,20
cndreisbach,76,38,0,2
melito,83,13,0,0
ibspoof,176,100,3,0
glv,50,10,3,0
heymarcel,1,0,0,53
cromney,0,0,0,0
blchamberlain,0,0,0,0
objo,5,1,0,0
ddemaree,86,18,33,2
hosh,38,8,2,0
zdennis,4307,685,4,14
champion-xx,0,0,0,0
conorh,146,30,2,0
amerine,645,109,7,1
jjgod,1924,264,0,0
mystical,0,0,0,0
holin,20,23,15,2
justinweiss,179,28,0,0
sethtrain,261,57,7,0
mbleigh,5190,1239,33,11
cobrien,3,1,0,0
pstuteville,46,44,2,23
da3mon,7,0,0,0
fiveruns,523,139,1,0
waferbaby,652,127,3,29
codabee,0,0,0,0
creston,0,0,0,0
jkatz05,0,0,0,0
jasonm,111,29,27,0
antage,571,105,5,0
cduhard,4,1,0,0
matthewd,66,3,1,3
mattman,4,0,0,0
asiemar,0,0,0,0
zmack,24,5,0,0
Arthur,11,2,0,0
nalin,4,3,0,0
vivaopensource,0,0,0,0
joao,9,5,7,2
bloodearnest,9,4,3,15
ealameda,13,1,1,0
edbond,40,6,2,5
pejorative,0,0,0,0
mewz,10,3,0,0
btbytes,5,1,0,13
arunthampi,155,13,1,0
universal,32,5,0,1
calavera,301,75,0,7
elia,84,11,0,16
joerichsen,71,15,1,14
haraldmartin,50,29,1,0
benreesman,1,0,0,0
ludwig,49,13,0,4
jkp,0,0,0,0
Cirex,82,26,2,0
gravityblast,92,21,4,39
andrew,98,110,1,31
hmans,570,37,8,19
aanand,1319,99,9,8
pqs,0,0,0,0
smn,121,32,3,25
solnic,591,52,5,56
railslove,114,61,5,4
we5,1,3,0,0
returnthis,0,0,0,0
stympy,65,29,1,7
jspears,108,26,27,36
mwise,26,7,3,0
georgepalmer,246,17,9,0
andregoncalves,144,38,1,1
dchelimsky,41,20,0,0
haguro,29,8,2,0
pdlug,32,10,10,10
fredix,21,3,0,0
agibralter,46,7,0,0
frac,32,7,0,0
ismasan,60,7,1,33
dpickett,93,24,0,0
maxterry,4,1,27,8
fsvehla,27,28,1,8
glasner,45,6,0,0
dmadding,0,0,0,0
jwilkins,48,11,3,0
shingara,27,15,1,3
sebastian,12,2,10,1
michaelklishin,570,333,0,17
yaanno,28,2,0,3
slip,9,3,0,0
jamie,94,19,4,33
azsromej,5,1,0,0
phsilva,18,3,1,5
wmoxam,24,4,0,28
quirkey,153,29,2,0
enhiro,4,0,0,0
shillcock,28,6,0,0
niallkennedy,528,167,4,0
sandropaganotti-zz,225,38,0,0
sudothinker,52,8,0,6
infovore,51,10,1,7
mateusdelbianco,24,4,0,0
cameroncox,1,0,0,0
robhudson,607,86,4,10
tolbrino,5,0,0,28
juggy,160,12,0,3
eliot-xx,0,0,0,0
djwhitt,9,2,0,41
patmaddox,23,9,1,0
willnorris,95,18,3,75
travis,40,13,17,9
